as_of,regime,regime_conf,p_rec,ensemble
2018-01-01,expansion,0.188,0.2,backtest_sharpe
2018-04-01,expansion,0.225,0.25,backtest_sharpe
2018-07-01,expansion,0.161,0.27,backtest_sharpe
2018-10-01,recession,0.268,0.31,trimmed_mean
2019-01-01,recession,0.245,0.32,trimmed_mean
2019-04-01,recession,0.346,0.32,trimmed_mean
2019-07-01,recession,0.314,0.27,trimmed_mean
2019-10-01,expansion,0.268,0.27,backtest_sharpe
2020-01-01,expansion,0.226,0.27,backtest_sharpe
2020-04-01,recession,0.357,0.32,trimmed_mean
2020-07-01,recession,0.402,0.36,trimmed_mean
2020-10-01,recession,0.253,0.24,trimmed_mean
2021-01-01,expansion,0.225,0.24,backtest_sharpe
2021-04-01,expansion,0.248,0.2,backtest_sharpe
2021-07-01,expansion,0.355,0.2,backtest_sharpe
2021-10-01,expansion,0.37,0.2,backtest_sharpe
2022-01-01,expansion,0.415,0.2,backtest_sharpe
2022-04-01,recovery,0.391,0.2,regime_conditional
2022-07-01,late-cycle,0.341,0.2,inverse_te
2022-10-01,late-cycle,0.58,0.26,inverse_te
2023-01-01,late-cycle,0.496,0.32,inverse_te
2023-04-01,late-cycle,0.402,0.27,inverse_te
2023-07-01,late-cycle,0.398,0.27,inverse_te
2023-10-01,late-cycle,0.439,0.27,inverse_te
2024-01-01,late-cycle,0.373,0.2,inverse_te
2024-04-01,late-cycle,0.398,0.25,inverse_te
2024-07-01,late-cycle,0.392,0.25,inverse_te
2024-10-01,recovery,0.229,0.2,regime_conditional
2025-01-01,late-cycle,0.312,0.2,inverse_te
2025-04-01,late-cycle,0.306,0.2,inverse_te
2025-07-01,late-cycle,0.211,0.2,inverse_te
2025-10-01,late-cycle,0.345,0.2,inverse_te
2026-01-01,late-cycle,0.314,0.2,inverse_te
2026-04-01,late-cycle,0.496,0.2,inverse_te
