as_of,regime,regime_conf,p_rec,ensemble
2018-01-01,expansion,0.369,0.2,regime_conditional
2018-04-01,expansion,0.387,0.25,regime_conditional
2018-07-01,expansion,0.292,0.27,regime_conditional
2018-10-01,expansion,0.357,0.31,regime_conditional
2019-01-01,expansion,0.423,0.32,composite_score
2019-04-01,expansion,0.477,0.32,composite_score
2019-07-01,expansion,0.456,0.27,composite_score
2019-10-01,expansion,0.444,0.27,regime_conditional
2020-01-01,expansion,0.396,0.27,regime_conditional
2020-04-01,expansion,0.594,0.32,composite_score
2020-07-01,recession,0.64,0.36,composite_score
2020-10-01,expansion,0.49,0.24,composite_score
2021-01-01,expansion,0.422,0.24,composite_score
2021-04-01,expansion,0.456,0.2,composite_score
2021-07-01,expansion,0.503,0.2,composite_score
2021-10-01,expansion,0.457,0.2,composite_score
2022-01-01,expansion,0.502,0.2,composite_score
2022-04-01,expansion,0.446,0.2,composite_score
2022-07-01,late-cycle,0.325,0.2,trimmed_mean
2022-10-01,late-cycle,0.61,0.3,trimmed_mean
2023-01-01,late-cycle,0.497,0.32,trimmed_mean
2023-04-01,late-cycle,0.369,0.27,trimmed_mean
2023-07-01,late-cycle,0.36,0.27,trimmed_mean
2023-10-01,late-cycle,0.437,0.27,regime_conditional
2024-01-01,late-cycle,0.376,0.2,regime_conditional
2024-04-01,late-cycle,0.372,0.25,regime_conditional
2024-07-01,late-cycle,0.35,0.25,regime_conditional
2024-10-01,late-cycle,0.179,0.2,trimmed_mean
2025-01-01,late-cycle,0.256,0.2,trimmed_mean
2025-04-01,late-cycle,0.295,0.2,trimmed_mean
2025-07-01,late-cycle,0.133,0.2,trimmed_mean
2025-10-01,late-cycle,0.26,0.2,trimmed_mean
2026-01-01,late-cycle,0.19,0.2,regime_conditional
2026-04-01,late-cycle,0.548,0.2,trimmed_mean
