method,FixedIncome,RealAssets,Equity,Cash,Risky(Eq+Real)
equal-weight,25.3,15.0,55.0,4.7,70.0
market-cap-weight,25.3,15.0,55.0,4.7,70.0
inverse-volatility,25.5,15.0,55.0,4.5,70.0
inverse-variance,25.0,15.0,55.0,5.0,70.0
volatility-targeting,25.5,15.0,55.0,4.5,70.0
max-sharpe,25.7,15.0,55.0,4.3,70.0
black-litterman,25.0,15.0,55.0,5.0,70.0
robust-mv,25.0,15.0,55.0,5.0,70.0
resampled-ef,25.7,15.0,55.0,4.3,70.0
mean-downside,25.0,15.0,55.0,5.0,70.0
gmv,25.7,15.0,55.0,4.3,70.0
risk-parity,25.0,15.0,55.0,5.0,70.0
hrp,25.0,15.0,55.0,5.0,70.0
max-diversification,25.6,15.0,55.0,4.4,70.0
min-correlation,25.5,15.0,55.0,4.5,70.0
cvar-min,25.3,15.0,55.0,4.7,70.0
max-dd-constrained,25.5,15.0,55.0,4.5,70.0
tail-risk-parity,25.4,15.0,55.0,4.6,70.0
tpa,25.7,15.0,55.0,4.3,70.0
adversarial-diversifier,25.8,15.0,55.0,4.2,70.0
max-entropy,25.3,15.0,55.0,4.7,70.0
