method,name,category,kr-large-cap,kr-dividend,us-large-cap,us-tech,kr-treasuries-10y,us-treasuries-10y,us-ig-credit,gold,kofr-cash,money-market
equal-weight,Equal Weight (1/N),A_Heuristic,0.13749998502291805,0.13749998502291805,0.13749998502291805,0.13749998502291805,0.08431513693753724,0.08431513693753724,0.08431513693753724,0.14999999734088748,0.023527325877414403,0.023527325877414403
market-cap-weight,Market-Cap Weight,A_Heuristic,0.10338968332921686,0.10338968332921686,0.2398309154182294,0.10338968332921686,0.08418385786257523,0.08418385786257523,0.08418385786257523,0.14999999846449297,0.02372423127095066,0.02372423127095066
inverse-volatility,Inverse Volatility,A_Heuristic,0.13909127509230906,0.1390699949021912,0.1382856646580421,0.1335530225296238,0.0995403089053785,0.08156758412979012,0.07351916279138387,0.14999999809947226,0.022686494445904513,0.022686494445904513
inverse-variance,Inverse Variance,A_Heuristic,0.13761476543990692,0.13761299197920976,0.13754907358615714,0.13722316561887288,0.08665946953906041,0.08238713674280042,0.08095339070282638,0.1499999965459602,0.050000009845205876,0.0
volatility-targeting,Volatility Targeting,A_Heuristic,0.13909127509230906,0.1390699949021912,0.1382856646580421,0.1335530225296238,0.0995403089053785,0.08156758412979012,0.07351916279138387,0.14999999809947226,0.022686494445904513,0.022686494445904513
max-sharpe,Maximum Sharpe Ratio,B_ReturnOptimized,0.13428957868774458,0.14417819467765028,0.1430797563654893,0.12845244910620934,0.1478071700244433,0.08569705921635591,0.023190863693397575,0.14999999252039933,0.021652467854155227,0.021652467854155227
black-litterman,Black-Litterman,B_ReturnOptimized,0.14030435952335943,0.13749365489849402,0.13616415941642604,0.13603777529232444,0.07786304998651634,0.0830685834962478,0.08907854304752956,0.1499999977420927,0.020506107903648946,0.029483768693360664
robust-mv,Robust Mean-Variance,B_ReturnOptimized,0.1490780456179478,0.14928242997571936,0.16117975560885953,0.09045972550979753,0.07764750602759322,0.09897060557175918,0.07359701098334213,0.1499999980786177,0.026228123350619054,0.023556799275744493
resampled-ef,Resampled Efficient Frontier,B_ReturnOptimized,0.13608455557050492,0.14188929007853213,0.14248769415994772,0.1295384452448557,0.14441111075442498,0.0866115557172628,0.02563148711771561,0.1499999905257764,0.021672935415489508,0.021672935415490147
mean-downside,Mean-Downside Risk (Sortino),B_ReturnOptimized,0.0904723928372564,0.12969965772366285,0.179383742494904,0.15044416160886384,0.08695470538592437,0.09043936876731601,0.07268695852348787,0.14999999798773053,0.024959152688564957,0.024959861982289323
gmv,Global Minimum Variance,C_RiskStructured,0.13191837337414905,0.14568437463762388,0.14477326347040767,0.127623966857814,0.1438748738585993,0.09065723726498523,0.022336987143383686,0.1499999923447098,0.021565465524163746,0.021565465524163746
risk-parity,Risk Parity,C_RiskStructured,0.13920624388216865,0.13913966541975403,0.13925582470837958,0.13239822746026947,0.13066583435012746,6.6753588871543535e-223,0.11933671657862918,0.14999999828981897,0.04999748931085257,0.0
hrp,Hierarchical Risk Parity,C_RiskStructured,0.13751504750972668,0.13751428068822688,0.13757630486517353,0.13739436358232196,0.08632332040109615,0.08237321461138569,0.0813034619912326,0.14999999656775595,0.05000000978308057,0.0
max-diversification,Maximum Diversification,C_RiskStructured,0.13290406455464288,0.14453501219120274,0.1399772434017842,0.13258364467896053,0.09504560395334749,0.1092021707155914,0.05179624185463922,0.14999999843878042,0.021978010105525612,0.021978010105525664
min-correlation,Minimum Correlation,C_RiskStructured,0.13438703545363845,0.13691793645064365,0.14154865220661672,0.13714633333550208,0.08187118639605799,0.09925346737926279,0.07346577713867179,0.14999999811120068,0.022704806764202917,0.022704806764202917
cvar-min,CVaR Minimization,D_NonTraditional,0.13749998502291805,0.13749998502291805,0.13749998502291805,0.13749998502291805,0.08431513693753724,0.08431513693753724,0.08431513693753724,0.14999999734088748,0.023527325877414403,0.023527325877414403
max-dd-constrained,Max Drawdown Constrained,D_NonTraditional,0.23879048830009916,0.23879048830009916,0.04242143209469797,0.029997569084355774,0.10906952298448014,0.1457314416063206,0.0,0.1499999921465268,0.023353592046874216,0.021845473436546154
tail-risk-parity,Tail Risk Parity,D_NonTraditional,0.15849023186185052,0.15849023186185052,0.07452926806019967,0.15849023186185052,0.08474440082166985,0.08474440082166985,0.08474440082166985,0.14999999838636727,0.022883417751436035,0.022883417751436035
tpa,Total Portfolio Allocation (two-factor),D_NonTraditional,0.14048728702218968,0.14675117494124765,0.1282622098930651,0.13449928722548496,0.11114419971992238,0.09146447140293083,0.05455926201630249,0.14999999818379842,0.021416054797529265,0.021416054797529265
adversarial-diversifier,Adversarial Diversifier,D_NonTraditional,0.13749998882233566,0.13749998882233566,0.13749998882233566,0.13749998882233566,0.056790527794690536,0.10069344699979009,0.10069344699979009,0.14999999801545671,0.020688685401043797,0.02113393949988623
max-entropy,Maximum Entropy,E_Researcher,0.13749998502291805,0.13749998502291805,0.13749998502291805,0.13749998502291805,0.08431513693753724,0.08431513693753724,0.08431513693753724,0.14999999734088748,0.023527325877414403,0.023527325877414403
