method,name,category,kr-large-cap,kr-dividend,us-large-cap,us-tech,kr-treasuries-10y,us-treasuries-10y,us-ig-credit,gold,kofr-cash,money-market
equal-weight,Equal Weight (1/N),A_Heuristic,13.75,13.75,13.75,13.75,8.43,8.43,8.43,15.0,2.35,2.35
market-cap-weight,Market-Cap Weight,A_Heuristic,10.34,10.34,23.98,10.34,8.42,8.42,8.42,15.0,2.37,2.37
inverse-volatility,Inverse Volatility,A_Heuristic,13.91,13.91,13.83,13.36,9.95,8.16,7.35,15.0,2.27,2.27
inverse-variance,Inverse Variance,A_Heuristic,13.76,13.76,13.75,13.72,8.67,8.24,8.1,15.0,5.0,0.0
volatility-targeting,Volatility Targeting,A_Heuristic,13.91,13.91,13.83,13.36,9.95,8.16,7.35,15.0,2.27,2.27
max-sharpe,Maximum Sharpe Ratio,B_ReturnOptimized,13.43,14.42,14.31,12.85,14.78,8.57,2.32,15.0,2.17,2.17
black-litterman,Black-Litterman,B_ReturnOptimized,14.03,13.75,13.62,13.6,7.79,8.31,8.91,15.0,2.05,2.95
robust-mv,Robust Mean-Variance,B_ReturnOptimized,14.91,14.93,16.12,9.05,7.76,9.9,7.36,15.0,2.62,2.36
resampled-ef,Resampled Efficient Frontier,B_ReturnOptimized,13.61,14.19,14.25,12.95,14.44,8.66,2.56,15.0,2.17,2.17
mean-downside,Mean-Downside Risk (Sortino),B_ReturnOptimized,9.05,12.97,17.94,15.04,8.7,9.04,7.27,15.0,2.5,2.5
gmv,Global Minimum Variance,C_RiskStructured,13.19,14.57,14.48,12.76,14.39,9.07,2.23,15.0,2.16,2.16
risk-parity,Risk Parity,C_RiskStructured,13.92,13.91,13.93,13.24,13.07,0.0,11.93,15.0,5.0,0.0
hrp,Hierarchical Risk Parity,C_RiskStructured,13.75,13.75,13.76,13.74,8.63,8.24,8.13,15.0,5.0,0.0
max-diversification,Maximum Diversification,C_RiskStructured,13.29,14.45,14.0,13.26,9.5,10.92,5.18,15.0,2.2,2.2
min-correlation,Minimum Correlation,C_RiskStructured,13.44,13.69,14.15,13.71,8.19,9.93,7.35,15.0,2.27,2.27
cvar-min,CVaR Minimization,D_NonTraditional,13.75,13.75,13.75,13.75,8.43,8.43,8.43,15.0,2.35,2.35
max-dd-constrained,Max Drawdown Constrained,D_NonTraditional,23.88,23.88,4.24,3.0,10.91,14.57,0.0,15.0,2.34,2.18
tail-risk-parity,Tail Risk Parity,D_NonTraditional,15.85,15.85,7.45,15.85,8.47,8.47,8.47,15.0,2.29,2.29
tpa,Total Portfolio Allocation (two-factor),D_NonTraditional,14.05,14.68,12.83,13.45,11.11,9.15,5.46,15.0,2.14,2.14
adversarial-diversifier,Adversarial Diversifier,D_NonTraditional,13.75,13.75,13.75,13.75,5.68,10.07,10.07,15.0,2.07,2.11
max-entropy,Maximum Entropy,E_Researcher,13.75,13.75,13.75,13.75,8.43,8.43,8.43,15.0,2.35,2.35
