,equal-weight,market-cap-weight,inverse-volatility,inverse-variance,volatility-targeting,max-sharpe,black-litterman,robust-mv,resampled-ef,mean-downside,gmv,risk-parity,hrp,max-diversification,min-correlation,cvar-min,max-dd-constrained,tail-risk-parity,tpa,adversarial-diversifier,max-entropy
kr-large-cap  [Equity]  069500 KODEX 200,13.75,10.34,13.91,13.76,13.91,13.43,14.03,14.91,13.61,9.05,13.19,13.92,13.75,13.29,13.44,13.75,23.88,15.85,14.05,13.75,13.75
kr-dividend  [Equity]  211900 KODEX 배당성장,13.75,10.34,13.91,13.76,13.91,14.42,13.75,14.93,14.19,12.97,14.57,13.91,13.75,14.45,13.69,13.75,23.88,15.85,14.68,13.75,13.75
us-large-cap  [Equity]  360750 TIGER 미국S&P500,13.75,23.98,13.83,13.75,13.83,14.31,13.62,16.12,14.25,17.94,14.48,13.93,13.76,14.0,14.15,13.75,4.24,7.45,12.83,13.75,13.75
us-tech  [Equity]  133690 TIGER 미국나스닥100,13.75,10.34,13.36,13.72,13.36,12.85,13.6,9.05,12.95,15.04,12.76,13.24,13.74,13.26,13.71,13.75,3.0,15.85,13.45,13.75,13.75
kr-treasuries-10y  [FixedIncome]  152380 KODEX 국고채10년,8.43,8.42,9.95,8.67,9.95,14.78,7.79,7.76,14.44,8.7,14.39,13.07,8.63,9.5,8.19,8.43,10.91,8.47,11.11,5.68,8.43
us-treasuries-10y  [FixedIncome]  305080 TIGER 미국채10년선물,8.43,8.42,8.16,8.24,8.16,8.57,8.31,9.9,8.66,9.04,9.07,0.0,8.24,10.92,9.93,8.43,14.57,8.47,9.15,10.07,8.43
us-ig-credit  [FixedIncome]  332620 TIGER 미국투자등급회사채액티브(H),8.43,8.42,7.35,8.1,7.35,2.32,8.91,7.36,2.56,7.27,2.23,11.93,8.13,5.18,7.35,8.43,0.0,8.47,5.46,10.07,8.43
gold  [RealAssets]  132030 KODEX 골드선물(H),15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
kofr-cash  [Cash]  423160 KODEX KOFR금리액티브,2.35,2.37,2.27,5.0,2.27,2.17,2.05,2.62,2.17,2.5,2.16,5.0,5.0,2.2,2.27,2.35,2.34,2.29,2.14,2.07,2.35
money-market  [Cash]  357870 TIGER 머니마켓액티브,2.35,2.37,2.27,0.0,2.27,2.17,2.95,2.36,2.17,2.5,2.16,0.0,0.0,2.2,2.27,2.35,2.18,2.29,2.14,2.11,2.35
